-,Genre,Year,Duration (min),Budget (US),Box_office,IMDB (Out of 10),Personal_Rating (out of 10),Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20,,,,,
2 Fast and Furious,Action,2003,107,"$76,000,000.00","$236,350,661.00",5.9,10,2,5,4,2,8,7,10,10,3,9,6,3,5,3,5,7,6,10,4,5,6,4,6,6,,,,,
A quiet place,Horror,2018,90,"$17,000,000.00","$340,939,361.00",7.5,7,7,9,8,8,6,9,5,9,9,9,7,6,8,8,7,8,8,8,8,8,8,8,6,10,,,,,
A quiet place Part II,Horror,2020,97,"$55,000,000.00","$297,400,000.00",7.2,7,8,4,6,6,6,8,6,8,5,7,8,6,6,6,6,7,5,8,7,10,8,4,8,9,,,,,
Aladin (2019),Fantasy,2019,128,"$183,000,000.00","$1,050,693,953.00",6.9,9,5,7,4,4,5,7,9,8,8,7,8,8,10,10,5,10,10,10,7,8,5,9,9,10,,,,,
Alice in Wonderland,Fantasy,2010,108,"$205,000,000.00","$1,028,467,110.00",6.4,8,4,6,5,7,8,7,10,2,9,9,7,9,6,8,9,6,10,6,5,8,10,8,10,9,,,,,
American Psycho,Horror,2000,101,"$7,000,000.00","$34,300,000.00",7.6,8,6,5,8,7,5,8,8,9,10,7,9,8,8,9,9,8,8,9,8,7,10,9,10,8,,,,,
Anyone but you,Comedy,2023,103,"$25,000,000.00","$189,321,912.00",6.3,6,5,5,8,6,5,7,9,10,4,10,6,4,9,5,6,6,6,6,7,5,7,10,4,6,,,,,
Argylle,Action,2024,139,N/A,"$78,631,971.00",6,1,5,4,4,3,5,2,4,4,2,7,1,7,4,2,4,5,6,5,2,2,3,4,5,2,,,,,
Astro boy,SciFi,2009,94,"$65,000,000.00","$41,636,243.00",6.2,8,3,4,4,6,5,7,8,9,7,7,8,9,9,5,10,6,6,9,9,10,8,7,9,5,,,,,
Avatar,SciFi,2009,162,"$237,000,000.00","$2,923,706,026.00",7.9,10,10,7,7,6,9,8,8,9,10,5,9,10,9,8,6,10,6,5,9,9,5,9,10,6,,,,,
Avatar 2,SciFi,2022,192,"$250,000,000.00","$2,320,000,000.00",7.6,9,4,10,8,8,9,8,7,8,9,5,7,6,6,7,6,5,8,8,9,9,8,7,8,8,,,,,
Avengers Endgame,Action,2019,182,"$365,000,000.00","$2,799,439,000.00",8.4,10,10,8,7,8,10,10,9,9,9,9,10,7,8,7,10,10,10,10,10,10,7,10,6,8,,,,,
Avengers Infinity War,Action,2018,149,"$365,000,000.00","$2,052,415,039.00",8.4,10,7,8,8,7,10,10,10,8,10,9,10,9,10,10,10,9,8,10,10,10,10,10,8,10,,,,,
Baby Driver,Action,2017,115,"$34,000,000.00","$226,900,000.00",7.5,9,8,7,10,7,10,9,7,8,9,10,7,8,10,9,9,10,8,10,9,9,10,10,8,7,,,,,
Bambi,Family,1942,70,"$858,000.00","$267,400,000.00",7.3,10,10,8,8,9,9,8,8,10,8,7,7,10,10,10,6,9,6,6,10,8,9,8,10,10,,,,,
Barbie,Comedy,2023,114,"$145,000,000.00","$1,445,638,421.00",6.9,9,7,6,8,7,6,5,8,9,9,7,7,6,6,10,6,8,7,8,6,8,6,5,8,6,,,,,
Bay Watch,Comedy,2017,121,"$69,000,000.00","$170,736,984.00",5.5,10,5,4,7,6,8,7,6,9,9,5,8,5,8,8,6,4,9,5,6,5,8,4,7,7,,,,,
Beauty and the Beast,Musical,1991,84,"$25,000,000.00","$424,000,000.00",8,7,7,7,6,8,10,8,7,8,7,8,7,10,6,10,10,10,9,10,6,9,10,9,9,10,,,,,
Big Hero 6,Action,2014,105,"$165,000,000.00","$657,818,612.00",7.8,8,8,8,6,8,8,7,9,7,10,7,8,9,7,8,9,10,8,8,8,10,10,9,10,8,,,,,
Black Adam,Action,2022,125,"$260,000,000.00","$392,952,111.00",6.2,8,5,6,5,5,4,5,6,8,5,7,7,3,7,4,3,4,8,7,5,6,7,8,8,4,,,,,
Bohemian Rhapsody,Musical,2018,134,"$52,400,000.00","$911,992,901.00",7.9,10,6,5,7,8,10,9,8,9,8,9,9,8,9,8,10,6,5,6,9,10,10,10,5,10,,,,,
