,Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20
0,2 Fast and Furious,Action,2003.0,107.0,76.0,236.350661,59.0,100.0,20.0,50.0,40.0,2.0,80.0,70.0,100.0,100.0,30.0,90.0,60.0,30.0,50.0,30.0,50.0,70.0,60.0,100.0,40.0,50.0,60.0,40.0,60.0,60.0
1,A quiet place,Horror,2018.0,90.0,17.0,340.939361,75.0,70.0,70.0,90.0,80.0,8.0,60.0,90.0,50.0,90.0,90.0,90.0,70.0,60.0,80.0,80.0,70.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,100.0
2,A quiet place Part II,Horror,2020.0,97.0,55.0,297.4,72.0,70.0,80.0,40.0,60.0,6.0,60.0,80.0,60.0,80.0,50.0,70.0,80.0,60.0,60.0,60.0,60.0,70.0,50.0,80.0,70.0,100.0,80.0,40.0,80.0,90.0
3,Aladin (2019),Fantasy,2019.0,128.0,183.0,1050.693953,69.0,90.0,50.0,70.0,40.0,4.0,50.0,70.0,90.0,80.0,80.0,70.0,80.0,80.0,100.0,100.0,50.0,100.0,100.0,100.0,70.0,80.0,50.0,90.0,90.0,100.0
4,Alice in Wonderland,Fantasy,2010.0,108.0,205.0,1028.46711,64.0,80.0,40.0,60.0,50.0,7.0,80.0,70.0,100.0,20.0,90.0,90.0,70.0,90.0,60.0,80.0,90.0,60.0,100.0,60.0,50.0,80.0,100.0,80.0,100.0,90.0
5,American Psycho,Horror,2000.0,101.0,7.0,34.3,76.0,80.0,60.0,50.0,80.0,7.0,50.0,80.0,80.0,90.0,100.0,70.0,90.0,80.0,80.0,90.0,90.0,80.0,80.0,90.0,80.0,70.0,100.0,90.0,100.0,80.0
6,Anyone but you,Comedy,2023.0,103.0,25.0,189.321912,63.0,60.0,50.0,50.0,80.0,6.0,50.0,70.0,90.0,100.0,40.0,100.0,60.0,40.0,90.0,50.0,60.0,60.0,60.0,60.0,70.0,50.0,70.0,100.0,40.0,60.0
7,Argylle,Action,2024.0,139.0,,78.631971,60.0,10.0,50.0,40.0,40.0,3.0,50.0,20.0,40.0,40.0,20.0,70.0,10.0,70.0,40.0,20.0,40.0,50.0,60.0,50.0,20.0,20.0,30.0,40.0,50.0,20.0
8,Astro boy,SciFi,2009.0,94.0,65.0,41.636243,62.0,80.0,30.0,40.0,40.0,6.0,50.0,70.0,80.0,90.0,70.0,70.0,80.0,90.0,90.0,50.0,100.0,60.0,60.0,90.0,90.0,100.0,80.0,70.0,90.0,50.0
9,Avatar,SciFi,2009.0,162.0,237.0,2923.706026,79.0,100.0,100.0,70.0,70.0,6.0,90.0,80.0,80.0,90.0,100.0,50.0,90.0,100.0,90.0,80.0,60.0,100.0,60.0,50.0,90.0,90.0,50.0,90.0,100.0,60.0
10,Avatar 2,SciFi,2022.0,192.0,250.0,2320.0,76.0,90.0,40.0,100.0,80.0,8.0,90.0,80.0,70.0,80.0,90.0,50.0,70.0,60.0,60.0,70.0,60.0,50.0,80.0,80.0,90.0,90.0,80.0,70.0,80.0,80.0
11,Avengers Endgame,Action,2019.0,182.0,365.0,2799.439,84.0,100.0,100.0,80.0,70.0,8.0,100.0,100.0,90.0,90.0,90.0,90.0,100.0,70.0,80.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,60.0,80.0
12,Avengers Infinity War,Action,2018.0,149.0,365.0,2052.415039,84.0,100.0,70.0,80.0,80.0,7.0,100.0,100.0,100.0,80.0,100.0,90.0,100.0,90.0,100.0,100.0,100.0,90.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0
13,Baby Driver,Action,2017.0,115.0,34.0,226.9,75.0,90.0,80.0,70.0,100.0,7.0,100.0,90.0,70.0,80.0,90.0,100.0,70.0,80.0,100.0,90.0,90.0,100.0,80.0,100.0,90.0,90.0,100.0,100.0,80.0,70.0
14,Bambi,Family,1942.0,70.0,0.858,267.4,73.0,100.0,100.0,80.0,80.0,9.0,90.0,80.0,80.0,100.0,80.0,70.0,70.0,100.0,100.0,100.0,60.0,90.0,60.0,60.0,100.0,80.0,90.0,80.0,100.0,100.0
